SEXO,EDAD_TRAMO,COMUNA,n,peso_medio,costo_medio,dias_medio,z_peso_medio,z_costo_medio,score_perfil
HOMBRE,18-39,LICANTÉN,29,9.927803448275862,349.8364034482759,10.689655172413794,1.58469180909129,2.3513127572892585,3.9360045663805483
MUJER,65+,PUCÓN,182,8.87378076923077,390.03944560439567,7.28021978021978,1.1788432906403297,2.7401715597591187,3.9190148503994484
HOMBRE,65+,ANCUD,162,12.463015432098764,241.64656111111108,8.617283950617283,2.5608681742201727,1.3048602931383866,3.8657284673585592
HOMBRE,40-64,PUMANQUE,36,11.844883333333334,265.7501833333333,5.583333333333333,2.3228581185748705,1.5379995077311932,3.8608576263060637
HOMBRE,40-64,QUEILÉN,42,9.881369047619048,342.72705952380954,8.69047619047619,1.5668123714981639,2.2825485340725447,3.8493609055707085
HOMBRE,0-17,LO PRADO,397,9.00224080604534,377.35033299748113,7.816120906801007,1.2283064726551434,2.617437734951314,3.845744207606457
MUJER,0-17,LO PRADO,281,7.996941637010677,416.2133740213523,9.124555160142348,0.8412188070250904,2.9933355472162297,3.83455435424132
HOMBRE,65+,QUINTA DE TILCOCO,49,13.59480612244898,191.85219795918368,7.8979591836734695,2.996661050414607,0.8232306604897944,3.8198917109044017
HOMBRE,40-64,CALERA DE TANGO,68,14.25365,160.33516764705882,9.647058823529411,3.2503470639231726,0.518386200784807,3.7687332647079796
HOMBRE,65+,DOÑIHUE,143,12.419783216783216,229.87634405594403,8.356643356643357,2.5442217292394402,1.1910143684665921,3.735236097706032
HOMBRE,0-17,QUINTA DE TILCOCO,74,9.477063513513514,345.3075027027027,8.527027027027026,1.4111356433969127,2.3075075419130293,3.7186431853099418
HOMBRE,40-64,MARIA ELENA,22,11.137118181818183,278.89191363636365,8.636363636363637,2.0503351037817943,1.6651112195308524,3.715446323312647
HOMBRE,18-39,PICHIDEGUA,24,10.159275000000001,316.3696916666667,8.291666666666666,1.6738192901203464,2.027610252004605,3.7014295421249512
HOMBRE,40-64,CANELA,35,12.585945714285714,210.2182342857143,12.6,2.6082021395040424,1.0008738066059275,3.6090759461099697
HOMBRE,65+,CALERA DE TANGO,50,12.372264,218.282026,9.24,2.5259245861960946,1.078869804451235,3.6047943906473296
HOMBRE,65+,TALTAL,66,11.312940909090909,260.19613787878785,8.681818181818182,2.1180351588112463,1.4842787107842645,3.602313869595511
HOMBRE,65+,QUILACO,43,12.334813953488371,213.7721069767442,10.488372093023257,2.511504549327027,1.035248187365416,3.5467527366924427
MUJER,0-17,PEUMO,42,10.355516666666668,291.2676785714286,10.214285714285714,1.7493816013100536,1.7848142289103375,3.534195830220391
HOMBRE,18-39,VICHUQUÉN,22,9.83690909090909,310.6433590909091,8.636363636363637,1.5496931880879197,1.9722230298310632,3.521916217918983
MUJER,0-17,PUCHUNCAVÍ,59,8.126703389830508,378.2497644067797,7.593220338983051,0.8911832111888033,2.6261373706496633,3.5173205818384665
